Item No,Competitor,Price,Region/Branch,Observed Date
BW200110,Coastal Electrical Supply,205.67,200450,2026-07-29
BW200110,Coastal Electrical Supply,202.70,200440,2026-08-07
BW200110,Coastal Electrical Supply,207.16,200450,2026-07-26
BW200115,Coastal Electrical Supply,281.92,200440,2026-08-01
BW200115,Coastal Electrical Supply,277.84,200440,2026-08-09
BW200115,Coastal Electrical Supply,279.88,200440,2026-08-06
BW311220,Grid Supply Depot,14.27,200410,2026-09-09
BW311220,Grid Supply Depot,14.50,200420,2026-08-31
BW311220,Grid Supply Depot,14.39,200420,2026-09-04
BW311240,Coastal Electrical Supply,34.28,200440,2026-08-01
BW311240,Coastal Electrical Supply,33.78,200440,2026-08-09
BW311240,Coastal Electrical Supply,34.03,200440,2026-08-06
BW311500,Grid Supply Depot,217.59,200420,2026-09-01
BW311500,Ampere Wholesale,220.94,200420,2026-08-24
BW311500,Ampere Wholesale,222.62,200430,2026-08-20
BW422031,Coastal Electrical Supply,10.73,200450,2026-07-27
BW422031,Coastal Electrical Supply,10.58,200440,2026-08-05
BW422031,Coastal Electrical Supply,10.81,200450,2026-07-24
BW422045,Grid Supply Depot,13.40,200410,2026-09-08
BW422045,Grid Supply Depot,13.30,200410,2026-09-12
BW422900,Ampere Wholesale,4.30,200430,2026-08-16
BW422900,Coastal Electrical Supply,4.40,200440,2026-08-05
BW422900,Ampere Wholesale,4.30,200430,2026-08-17
BW533100,Ampere Wholesale,3.72,200430,2026-08-23
BW533100,Grid Supply Depot,3.66,200420,2026-09-01
BW533100,Ampere Wholesale,3.75,200430,2026-08-20
BW645210,Coastal Electrical Supply,41.47,200440,2026-08-02
BW645210,Coastal Electrical Supply,42.07,200450,2026-07-27
