Item No,Description,Category,Subcategory,UOM,Commodity,List Price,Unit Cost,Branch,On Hand
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,197.84,136.45,200410,420
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,197.84,136.45,200420,231
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,197.84,136.45,200430,126
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,197.84,136.45,200440,336
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,197.84,136.45,200450,63
BW200115,10 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,272.48,190.81,200410,260
BW200115,10 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,272.48,190.81,200420,143
BW200115,10 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,272.48,190.81,200430,78
BW200115,10 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,272.48,190.81,200440,208
BW200115,10 AWG THHN COPPER WIRE 500FT SPOOL,Wire & Cable,,spool,copper,272.48,190.81,200450,39
BW311220,20A SINGLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,14.88,8.63,200410,1500
BW311220,20A SINGLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,14.88,8.63,200420,825
BW311220,20A SINGLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,14.88,8.63,200430,450
BW311220,20A SINGLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,14.88,8.63,200440,1200
BW311220,20A SINGLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,14.88,8.63,200450,225
BW311240,40A DOUBLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,33.15,20.68,200410,640
BW311240,40A DOUBLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,33.15,20.68,200420,352
BW311240,40A DOUBLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,33.15,20.68,200430,192
BW311240,40A DOUBLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,33.15,20.68,200440,512
BW311240,40A DOUBLE POLE CIRCUIT BREAKER,Breakers & Panels,,each,,33.15,20.68,200450,96
BW311500,200A MAIN BREAKER LOAD CENTER 40-SPACE,Breakers & Panels,,each,,223.42,160.97,200410,85
BW311500,200A MAIN BREAKER LOAD CENTER 40-SPACE,Breakers & Panels,,each,,223.42,160.97,200420,46
BW311500,200A MAIN BREAKER LOAD CENTER 40-SPACE,Breakers & Panels,,each,,223.42,160.97,200430,25
BW311500,200A MAIN BREAKER LOAD CENTER 40-SPACE,Breakers & Panels,,each,,223.42,160.97,200440,68
BW311500,200A MAIN BREAKER LOAD CENTER 40-SPACE,Breakers & Panels,,each,,223.42,160.97,200450,12
BW422031,3/4 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,10.28,6.61,200410,1800
BW422031,3/4 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,10.28,6.61,200420,990
BW422031,3/4 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,10.28,6.61,200430,540
BW422031,3/4 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,10.28,6.61,200440,1440
BW422031,3/4 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,10.28,6.61,200450,270
BW422045,1 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,13.99,9.33,200410,1150
BW422045,1 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,13.99,9.33,200420,632
BW422045,1 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,13.99,9.33,200430,345
BW422045,1 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,13.99,9.33,200440,920
BW422045,1 IN EMT CONDUIT 10FT,Conduit & Fittings,,10ft length,steel,13.99,9.33,200450,172
BW422900,4X4 METAL JUNCTION BOX,Conduit & Fittings,,each,,4.28,2.51,200410,9400
BW422900,4X4 METAL JUNCTION BOX,Conduit & Fittings,,each,,4.28,2.51,200420,1320
BW422900,4X4 METAL JUNCTION BOX,Conduit & Fittings,,each,,4.28,2.51,200430,720
BW422900,4X4 METAL JUNCTION BOX,Conduit & Fittings,,each,,4.28,2.51,200440,1920
BW422900,4X4 METAL JUNCTION BOX,Conduit & Fittings,,each,,4.28,2.51,200450,360
BW533100,DECORA 15A DUPLEX RECEPTACLE,Devices & Outlets,,each,,3.76,2.03,200410,3100
BW533100,DECORA 15A DUPLEX RECEPTACLE,Devices & Outlets,,each,,3.76,2.03,200420,1705
BW533100,DECORA 15A DUPLEX RECEPTACLE,Devices & Outlets,,each,,3.76,2.03,200430,930
BW533100,DECORA 15A DUPLEX RECEPTACLE,Devices & Outlets,,each,,3.76,2.03,200440,7600
BW533100,DECORA 15A DUPLEX RECEPTACLE,Devices & Outlets,,each,,3.76,2.03,200450,465
BW645210,4FT LED SHOP LIGHT FIXTURE 4000LM,Lighting,,each,,40.19,26.22,200410,520
BW645210,4FT LED SHOP LIGHT FIXTURE 4000LM,Lighting,,each,,40.19,26.22,200420,286
BW645210,4FT LED SHOP LIGHT FIXTURE 4000LM,Lighting,,each,,40.19,26.22,200430,156
BW645210,4FT LED SHOP LIGHT FIXTURE 4000LM,Lighting,,each,,40.19,26.22,200440,416
BW645210,4FT LED SHOP LIGHT FIXTURE 4000LM,Lighting,,each,,40.19,26.22,200450,78
