Item No,Description,Category,Subcategory,Commodity,List Price,Unit Cost,On Hand,Branch,Supplier,Supplier Cost,Lead Time,UOM
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,Plumbing,Pipe & tube,copper,,301.05,,,Cascade Copper Mills,301.05,17,coil
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,Plumbing,Pipe & tube,copper,,20.68,,,Cascade Copper Mills,20.68,17,10 ft length
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,Plumbing,Fittings,steel,,1.93,,,Kotara Steel Products,1.69,73,each
HRD290145,2 IN PVC DWV SANITARY TEE HUB,Plumbing,Fittings,pvc,,5.05,,,Gulf States Polymer,5.05,43,each
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,Plumbing,Fittings,pvc,,7.57,,,Gulf States Polymer,7.57,43,each
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,Fixtures,Faucets,brass,,101.53,,,Larsen Brass & Bronze,101.53,19,each
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,Water heating,Tank heaters,equipment,,566.17,,,Thermaline Systems,552.90,39,each
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,Plumbing,PEX,pex,,71.12,,,Gulf States Polymer,71.12,43,coil
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,Plumbing,PEX,pex,,2.42,,,Larsen Brass & Bronze,2.42,19,each
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,Plumbing,Valves,brass,,12.55,,,Nordflow Valve Works,11.64,28,each
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,Plumbing,Fittings,iron,,9.10,,,Kotara Steel Products,7.97,73,each
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),Plumbing,Valves,iron,,659.59,,,Nordflow Valve Works,611.86,28,each
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),HVAC,Controls,equipment,,93.06,,,Pacific Rim Tooling,81.42,38,each
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),Plumbing,Fittings,steel,,31.18,,,Kotara Steel Products,27.30,73,each
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,HVAC,Cooling,equipment,,1584.29,,,Thermaline Systems,1547.16,39,each
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,Water heating,Mixing valves,brass,,157.95,,,Nordflow Valve Works,146.52,28,each
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,Water heating,Heat pump,equipment,,1294.89,,,Thermaline Systems,1264.54,39,each
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,10,100047,,,,
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,13,100117,,,,
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,12,100205,,,,
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,11,100349,,,,
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,3,100571,,,,
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,6,100649,,,,
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,6,100812,,,,
