PO Number,Order Date,Supplier,Supplier Country,Item No,Qty Ordered,Unit Cost,Freight,Duty,Ship To,Promised Date,Received Date,Qty Received
PO-202510-0001,2025-10-01,Volt Distribution Co,USA,BW200110,97,124.65,2.49,0.00,200410,2025-10-10,2025-10-10,97
PO-202510-0002,2025-10-07,Meridian Electrical Supply,Mexico,BW311500,319,151.92,5.32,1.52,200440,2025-10-21,2025-10-21,319
PO-202510-0003,2025-10-04,Meridian Electrical Supply,Mexico,BW422031,186,6.17,0.22,0.06,200430,2025-10-18,2025-10-18,186
PO-202510-0004,2025-09-30,Anhui Wire & Cable,China,BW533100,331,1.93,0.12,0.05,200440,2025-11-01,2025-11-01,331
PO-202510-0005,2025-10-04,Meridian Electrical Supply,Mexico,BW645210,218,24.40,0.85,0.24,200420,2025-10-18,2025-10-18,218
PO-202511-0006,2025-11-01,Volt Distribution Co,USA,BW200115,110,175.53,3.51,0.00,200410,2025-11-10,2025-11-10,110
PO-202511-0007,2025-11-06,Volt Distribution Co,USA,BW311220,170,8.08,0.16,0.00,200420,2025-11-15,2025-11-15,170
PO-202511-0008,2025-11-05,Meridian Electrical Supply,Mexico,BW311240,283,19.53,0.68,0.20,200430,2025-11-19,2025-11-19,283
PO-202511-0009,2025-10-31,Anhui Wire & Cable,China,BW422045,412,8.98,0.54,0.22,200450,2025-12-02,2025-12-07,412
PO-202511-0010,2025-10-31,Anhui Wire & Cable,China,BW422900,401,2.43,0.15,0.06,200450,2025-12-02,2025-12-07,401
PO-202512-0011,2025-12-04,Volt Distribution Co,USA,BW200110,129,127.60,2.55,0.00,200420,2025-12-13,2025-12-13,129
PO-202512-0012,2025-11-30,Anhui Wire & Cable,China,BW311500,338,154.32,9.26,3.86,200440,2026-01-01,2026-01-01,338
PO-202512-0013,2025-12-05,Volt Distribution Co,USA,BW422031,168,6.22,0.12,0.00,200420,2025-12-14,2025-12-14,168
PO-202512-0014,2025-12-08,Meridian Electrical Supply,Mexico,BW533100,312,1.95,0.07,0.02,200440,2025-12-22,2025-12-22,312
PO-202512-0015,2025-12-06,Meridian Electrical Supply,Mexico,BW645210,249,24.97,0.87,0.25,200430,2025-12-20,2025-12-20,249
PO-202601-0016,2026-01-02,Volt Distribution Co,USA,BW200115,79,178.31,3.57,0.00,200410,2026-01-11,2026-01-11,79
PO-202601-0017,2026-01-04,Meridian Electrical Supply,Mexico,BW311220,201,8.15,0.29,0.08,200420,2026-01-18,2026-01-18,201
PO-202601-0018,2026-01-07,Meridian Electrical Supply,Mexico,BW311240,252,19.84,0.69,0.20,200430,2026-01-21,2026-01-21,252
PO-202601-0019,2025-12-31,Anhui Wire & Cable,China,BW422045,431,9.12,0.55,0.23,200450,2026-02-01,2026-02-02,431
PO-202601-0020,2025-12-31,Anhui Wire & Cable,China,BW422900,419,2.46,0.15,0.06,200450,2026-02-01,2026-02-02,419
PO-202602-0021,2026-02-01,Volt Distribution Co,USA,BW200110,135,128.38,2.57,0.00,200410,2026-02-10,2026-02-10,135
PO-202602-0022,2026-01-31,Anhui Wire & Cable,China,BW311500,331,157.01,9.42,3.93,200440,2026-03-04,2026-03-05,298
PO-202602-0023,2026-02-04,Volt Distribution Co,USA,BW422031,149,6.28,0.13,0.00,200420,2026-02-13,2026-02-13,149
PO-202602-0024,2026-02-06,Meridian Electrical Supply,Mexico,BW533100,293,1.97,0.07,0.02,200440,2026-02-20,2026-02-20,293
PO-202602-0025,2026-02-04,Meridian Electrical Supply,Mexico,BW645210,231,25.22,0.88,0.25,200430,2026-02-18,2026-02-18,231
PO-202603-0026,2026-03-02,Volt Distribution Co,USA,BW200115,98,180.76,3.62,0.00,200410,2026-03-11,2026-03-11,98
PO-202603-0027,2026-03-05,Meridian Electrical Supply,Mexico,BW311220,207,8.32,0.29,0.08,200430,2026-03-19,2026-03-19,207
PO-202603-0028,2026-03-07,Meridian Electrical Supply,Mexico,BW311240,271,20.11,0.70,0.20,200440,2026-03-21,2026-03-21,271
PO-202603-0029,2026-02-28,Anhui Wire & Cable,China,BW422045,425,9.28,0.56,0.23,200450,2026-04-01,2026-04-02,425
PO-202603-0030,2026-02-28,Anhui Wire & Cable,China,BW422900,413,2.47,0.15,0.06,200450,2026-04-01,2026-04-04,413
PO-202604-0031,2026-04-01,Volt Distribution Co,USA,BW200110,116,129.38,2.59,0.00,200410,2026-04-10,2026-04-10,116
PO-202604-0032,2026-04-06,Meridian Electrical Supply,Mexico,BW311500,300,157.09,5.50,1.57,200430,2026-04-20,2026-04-20,300
PO-202604-0033,2026-04-04,Volt Distribution Co,USA,BW422031,180,6.33,0.13,0.00,200420,2026-04-13,2026-04-13,180
PO-202604-0034,2026-03-31,Anhui Wire & Cable,China,BW533100,325,1.98,0.12,0.05,200440,2026-05-02,2026-05-02,293
PO-202604-0035,2026-04-05,Meridian Electrical Supply,Mexico,BW645210,212,25.42,0.89,0.25,200430,2026-04-19,2026-04-19,212
PO-202605-0036,2026-05-03,Volt Distribution Co,USA,BW200115,116,183.57,3.67,0.00,200420,2026-05-12,2026-05-12,116
PO-202605-0037,2026-05-04,Meridian Electrical Supply,Mexico,BW311220,189,8.39,0.29,0.08,200430,2026-05-18,2026-05-18,189
PO-202605-0038,2026-05-07,Meridian Electrical Supply,Mexico,BW311240,289,20.42,0.71,0.20,200440,2026-05-21,2026-05-21,289
PO-202605-0039,2026-04-30,Anhui Wire & Cable,China,BW422045,394,9.28,0.56,0.23,200450,2026-06-01,2026-06-07,394
PO-202605-0040,2026-04-30,Anhui Wire & Cable,China,BW422900,382,2.51,0.15,0.06,200450,2026-06-01,2026-06-07,382
