Item No,Item Description,Invoice Date,Qty Shipped,Net Price,Unit Cost,Bill To,Whse
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-23,9,191.66,128.00,Redwood Electrical Contractors,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-25,10,192.81,128.00,Redwood Electrical Contractors,200450
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-22,10,192.55,128.00,Cascade Electric Supply Co,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-25,9,192.28,128.00,Redwood Electrical Contractors,200450
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-25,10,192.73,128.00,Redwood Electrical Contractors,200450
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-22,10,192.46,128.00,Cascade Electric Supply Co,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-24,9,192.19,128.00,Redwood Electrical Contractors,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-19,9,191.92,128.00,Cascade Electric Supply Co,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-25,9,192.37,128.00,Redwood Electrical Contractors,200450
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-20,9,192.10,128.00,Cascade Electric Supply Co,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-02,3,185.23,128.00,Ferro Electrical Contractors,200410
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-06,3,185.50,128.00,BrightLine Electric Co,200420
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-30,3,184.70,128.00,Ferro Electrical Contractors,200410
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-04,3,184.96,128.00,BrightLine Electric Co,200410
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-06,4,185.58,128.00,BrightLine Electric Co,200420
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-04,3,184.43,128.00,Ferro Electrical Contractors,200410
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-05,3,185.05,128.00,BrightLine Electric Co,200410
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-02,3,185.32,128.00,Ferro Electrical Contractors,200410
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-04,3,184.52,128.00,Ferro Electrical Contractors,200410
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-09-30,3,184.78,128.00,Ferro Electrical Contractors,200410
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-18,8,190.98,128.00,Highline Power & Controls,200430
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-20,9,192.13,128.00,Cascade Electric Supply Co,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-24,9,191.87,128.00,Redwood Electrical Contractors,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-19,9,191.60,128.00,Cascade Electric Supply Co,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-20,9,192.05,128.00,Cascade Electric Supply Co,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-24,9,191.78,128.00,Redwood Electrical Contractors,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-18,9,191.51,128.00,Highline Power & Controls,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-21,9,191.24,128.00,Cascade Electric Supply Co,200440
BW200110,12 AWG THHN COPPER WIRE 500FT SPOOL,2025-10-20,9,191.68,128.00,Cascade Electric Supply Co,200440
