Item No,Item Description,Invoice Date,Qty Shipped,Net Price,Unit Cost,Bill To,Whse
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-01,375,5.63,4.60,Kestrel Construction LLC,100571
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-01,229,5.67,4.60,Sable Creek Refining,100649
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-01,150,10.90,6.92,Delta Ridge Industrial,100933
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-01,227,10.95,6.92,Tidewater Mechanical,100959
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-01,8,143.89,97.50,Orion Municipal Works,100349
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,2024-08-01,4,640.67,498.20,Westport Unified Schools,100649
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-01,379,3.33,2.35,Brightwater Facilities,100349
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-01,221,3.16,2.35,Tidewater Mechanical,100933
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-01,218,3.25,2.35,Tidewater Mechanical,100959
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-01,48,14.99,11.40,Delta Ridge Industrial,100571
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-01,95,9.95,8.15,Kestrel Construction LLC,100047
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-02,90,23.24,19.10,Sable Creek Refining,100349
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-02,394,2.55,1.72,Brightwater Facilities,100117
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-02,119,2.17,1.72,Sable Creek Refining,100812
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-02,230,2.56,1.72,Westport Unified Schools,100933
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-02,241,7.25,4.60,Westport Unified Schools,100205
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-02,166,5.54,4.60,Grayson HVAC Services,100959
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-02,386,9.71,6.92,Kestrel Construction LLC,100047
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-02,387,10.48,6.92,Brightwater Facilities,100117
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-02,106,8.01,6.92,Grayson HVAC Services,100205
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-02,234,9.69,6.92,Sable Creek Refining,100205
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-02,336,10.12,6.92,Brightwater Facilities,100349
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-02,15,125.57,97.50,Fairmont Health System,100205
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,2024-08-02,4,763.36,498.20,Westport Unified Schools,100349
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-02,261,3.55,2.35,Cortland Fire Protection,100047
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-02,231,2.74,2.35,Westport Unified Schools,100571
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-02,95,14.96,11.40,Cortland Fire Protection,100349
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-02,96,11.80,8.15,Vance & Sons Plumbing,100047
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,2024-08-02,7,2141.26,1455.00,Cortland Fire Protection,100205
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,2024-08-03,5,437.40,281.40,Sable Creek Refining,100959
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-03,53,22.64,19.10,Fairmont Health System,100205
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-03,85,29.88,19.10,Vance & Sons Plumbing,100812
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-03,111,2.70,1.72,Brightwater Facilities,100047
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-03,193,2.76,1.72,Sable Creek Refining,100571
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-03,252,2.27,1.72,Tidewater Mechanical,100649
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-03,65,2.76,1.72,Walk-in,100812
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-03,333,2.58,1.72,Vance & Sons Plumbing,100933
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-03,349,5.52,4.60,Kestrel Construction LLC,100349
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-03,268,6.39,4.60,Orion Municipal Works,100571
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-03,250,11.07,6.92,Sable Creek Refining,100047
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-03,182,10.56,6.92,Fairmont Health System,100571
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-03,63,8.93,6.92,Walk-in,100812
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-03,192,9.22,6.92,Sable Creek Refining,100933
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-03,61,10.10,6.92,Walk-in,100959
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-03,18,138.65,97.50,Tidewater Mechanical,100649
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-03,35,98.09,62.80,Walk-in,100812
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-03,396,3.24,2.35,Walk-in,100933
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-03,105,13.15,11.40,Walk-in,100812
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-03,83,12.83,8.15,Orion Municipal Works,100205
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-03,98,11.39,8.15,Cortland Fire Protection,100649
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-03,120,9.41,8.15,Brightwater Facilities,100933
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-04,103,28.60,19.10,Vance & Sons Plumbing,100117
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-04,108,30.43,19.10,Halloran Mechanical,100205
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-04,85,22.56,19.10,Orion Municipal Works,100349
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-04,41,26.81,19.10,Westport Unified Schools,100933
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-04,345,2.05,1.72,Vance & Sons Plumbing,100047
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-04,200,5.25,4.60,Tidewater Mechanical,100047
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-04,343,6.59,4.60,Vance & Sons Plumbing,100812
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-04,290,9.02,6.92,Vance & Sons Plumbing,100117
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-04,188,9.88,6.92,Delta Ridge Industrial,100117
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-04,81,10.60,6.92,Westport Unified Schools,100205
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-04,263,10.43,6.92,Tidewater Mechanical,100649
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-04,18,143.63,97.50,Delta Ridge Industrial,100205
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-04,289,3.25,2.35,Brightwater Facilities,100933
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-04,102,13.33,11.40,Vance & Sons Plumbing,100649
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-05,44,24.31,19.10,Westport Unified Schools,100571
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-05,79,5.32,4.60,Kestrel Construction LLC,100047
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-05,85,7.27,4.60,Halloran Mechanical,100959
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-05,149,10.11,6.92,Fairmont Health System,100571
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-05,150,9.76,6.92,Fairmont Health System,100649
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-05,266,3.31,2.35,Sable Creek Refining,100649
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-05,65,18.04,11.40,Sable Creek Refining,100047
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-05,113,16.14,11.40,Halloran Mechanical,100571
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-05,65,9.87,8.15,Sable Creek Refining,100117
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-05,91,11.79,8.15,Vance & Sons Plumbing,100349
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,2024-08-05,7,2217.19,1455.00,Orion Municipal Works,100812
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,2024-08-05,7,1668.60,1455.00,Brightwater Facilities,100959
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-06,225,1.97,1.72,Cortland Fire Protection,100205
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-06,309,2.05,1.72,Brightwater Facilities,100812
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-06,83,7.00,4.60,Orion Municipal Works,100047
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-06,364,5.85,4.60,Brightwater Facilities,100649
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-06,212,6.05,4.60,Tidewater Mechanical,100933
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-06,369,9.96,6.92,Kestrel Construction LLC,100205
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-06,384,10.66,6.92,Walk-in,100205
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-06,378,10.82,6.92,Halloran Mechanical,100933
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-06,93,3.40,2.35,Walk-in,100117
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-06,213,2.69,2.35,Tidewater Mechanical,100349
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-06,227,3.15,2.35,Cortland Fire Protection,100649
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-06,226,3.32,2.35,Sable Creek Refining,100812
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-06,71,9.59,8.15,Northgate Property Group,100047
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-06,114,11.88,8.15,Walk-in,100812
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,2024-08-07,7,373.38,281.40,Orion Municipal Works,100117
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-07,34,23.74,19.10,Halloran Mechanical,100571
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-07,294,6.08,4.60,Northgate Property Group,100571
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-07,318,5.82,4.60,Kestrel Construction LLC,100959
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-07,341,9.60,6.92,Halloran Mechanical,100117
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-07,380,7.93,6.92,Brightwater Facilities,100349
