Item No,Competitor,Price,Currency,Region/Branch,Observed Date,Source URL
HRD107744,Northline Supply,439.48,USD,east,2026-08-20,
HRD107744,Brightwell Distribution,400.48,USD,east,2026-07-25,
HRD107744,Brightwell Distribution,410.08,USD,south,2026-07-08,
HRD107744,Summit Pipe & Supply,478.22,USD,east,2026-08-20,
HRD107744,Summit Pipe & Supply,420.53,USD,south,2026-07-12,
HRD118902,Northline Supply,29.30,USD,north,2026-08-24,
HRD118902,Northline Supply,25.93,USD,west,2026-07-12,
HRD118902,Meridian Plumbing Wholesale,25.60,USD,south,2026-07-15,
HRD118902,Meridian Plumbing Wholesale,25.89,USD,north,2026-07-22,
HRD248813,Meridian Plumbing Wholesale,2.59,USD,east,2026-07-15,
HRD248813,Summit Pipe & Supply,2.83,USD,west,2026-08-21,
HRD248813,Brightwell Distribution,2.48,USD,north,2026-07-13,
HRD248813,Brightwell Distribution,2.72,USD,west,2026-08-18,
HRD290145,Brightwell Distribution,7.65,USD,west,2026-08-01,
HRD290145,Summit Pipe & Supply,7.69,USD,east,2026-08-02,
HRD290145,Meridian Plumbing Wholesale,6.16,USD,south,2026-07-26,
HRD304148,Larkspur Trade Supply,9.83,USD,east,2026-07-04,
HRD304148,Summit Pipe & Supply,10.98,USD,south,2026-08-04,
HRD304148,Brightwell Distribution,9.55,USD,north,2026-07-11,
HRD304148,Brightwell Distribution,10.28,USD,west,2026-07-06,
HRD335590,Brightwell Distribution,142.82,USD,north,2026-08-22,
HRD335590,Brightwell Distribution,141.53,USD,east,2026-08-12,
HRD335590,Summit Pipe & Supply,147.88,USD,west,2026-08-23,
HRD450871,Larkspur Trade Supply,679.02,USD,south,2026-08-04,
HRD450871,Northline Supply,729.72,USD,north,2026-07-19,
HRD450871,Northline Supply,717.68,USD,south,2026-07-23,
HRD512066,Larkspur Trade Supply,91.22,USD,south,2026-07-17,
HRD512066,Larkspur Trade Supply,95.86,USD,west,2026-08-11,
HRD512066,Northline Supply,103.18,USD,south,2026-08-04,
HRD512066,Brightwell Distribution,103.93,USD,east,2026-07-11,
HRD512066,Brightwell Distribution,104.99,USD,north,2026-07-27,
HRD661204,Larkspur Trade Supply,3.40,USD,west,2026-07-06,
HRD661204,Northline Supply,3.47,USD,east,2026-08-19,
HRD772310,Larkspur Trade Supply,17.88,USD,north,2026-06-29,
HRD772310,Brightwell Distribution,18.87,USD,east,2026-07-31,
HRD874019,Meridian Plumbing Wholesale,11.42,USD,west,2026-07-22,
HRD874019,Larkspur Trade Supply,11.12,USD,east,2026-07-27,
HRD874019,Larkspur Trade Supply,11.22,USD,west,2026-07-23,
HRD874019,Brightwell Distribution,13.62,USD,east,2026-08-06,
HRD900001,Meridian Plumbing Wholesale,989.67,USD,east,2026-08-08,
HRD900001,Meridian Plumbing Wholesale,976.02,USD,west,2026-08-11,
HRD900001,Brightwell Distribution,927.71,USD,south,2026-08-12,
HRD900001,Brightwell Distribution,868.61,USD,north,2026-06-30,
HRD900001,Larkspur Trade Supply,906.77,USD,north,2026-06-29,
HRD900001,Larkspur Trade Supply,914.27,USD,east,2026-06-30,
HRD900002,Brightwell Distribution,114.41,USD,north,2026-07-18,
HRD900002,Brightwell Distribution,126.54,USD,west,2026-08-25,
HRD900002,Northline Supply,134.26,USD,west,2026-08-07,
HRD900002,Northline Supply,137.04,USD,east,2026-08-02,
HRD900003,Summit Pipe & Supply,39.51,USD,west,2026-07-25,
HRD900003,Brightwell Distribution,45.32,USD,east,2026-08-19,
HRD900003,Brightwell Distribution,39.54,USD,south,2026-07-25,
HRD983377,Northline Supply,2175.80,USD,east,2026-07-07,
HRD983377,Northline Supply,2148.54,USD,west,2026-07-10,
HRD983377,Brightwell Distribution,2251.02,USD,east,2026-07-02,
HRD551200,Meridian Plumbing Wholesale,196.69,USD,east,2026-07-08,
HRD551200,Meridian Plumbing Wholesale,217.10,USD,south,2026-08-25,
HRD551200,Northline Supply,204.20,USD,west,2026-07-09,
HRD551200,Brightwell Distribution,227.02,USD,west,2026-08-14,
HRD551200,Brightwell Distribution,221.10,USD,north,2026-08-18,
HRD551201,Meridian Plumbing Wholesale,1787.85,USD,north,2026-07-09,
HRD551201,Meridian Plumbing Wholesale,1846.75,USD,west,2026-07-28,
HRD551201,Brightwell Distribution,1695.63,USD,south,2026-07-12,
HRD551201,Summit Pipe & Supply,1942.57,USD,west,2026-08-04,
