Item No,Item Description,Invoice Date,Qty Shipped,Net Price,Unit Cost,Bill To,Whse
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-07-01,68,30.45,19.10,Fairmont Health System,100117
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-07-01,76,29.81,19.10,Grayson HVAC Services,100117
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-07-01,33,24.85,19.10,Halloran Mechanical,100205
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-07-01,324,5.99,4.60,Grayson HVAC Services,100047
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-07-01,342,5.34,4.60,Westport Unified Schools,100349
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-07-01,355,10.07,6.92,Westport Unified Schools,100649
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-07-01,313,11.21,6.92,Westport Unified Schools,100812
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-07-01,22,146.19,97.50,Fairmont Health System,100933
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-07-01,9,75.40,62.80,Halloran Mechanical,100571
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-07-01,20,92.41,62.80,Fairmont Health System,100649
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-07-01,112,2.61,2.35,Ridgeline Plumbing Co.,100571
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-07-01,226,2.83,2.35,Ridgeline Plumbing Co.,100649
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-07-01,69,15.06,11.40,Fairmont Health System,100649
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-07-01,76,9.50,8.15,Delta Ridge Industrial,100649
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,2024-07-02,5,351.94,281.40,Fairmont Health System,100812
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-07-02,85,29.61,19.10,Ridgeline Plumbing Co.,100959
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-07-02,430,2.20,1.72,Sable Creek Refining,100047
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-07-02,182,2.61,1.72,Fairmont Health System,100933
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-07-02,193,6.96,4.60,Fairmont Health System,100047
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-07-02,225,5.79,4.60,Grayson HVAC Services,100349
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-07-02,195,5.89,4.60,Fairmont Health System,100571
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-07-02,278,6.93,4.60,Grayson HVAC Services,100649
